Name;Latitude;Longitude
D1;54.789358814745;32.035550306418
D2;54.780969625604;32.037309835532
D3;54.777677816468;32.051729391196
D4;54.776984769882;32.054647634604
D5;54.780103386015;32.057694624045
D6;54.783371179261;32.058335520619
D7;54.784310661667;32.061857412436
D8;54.790472293085;32.051600645163
D9;54.79042280581;32.043918798545
D10;54.789804209761;32.063273618796
D11;54.788690713022;32.051986883261
D12;54.78127899239;32.055892179587
D13;54.781105747281;32.05248040972
D14;54.780685006071;32.050270269492
D15;54.784620002897;32.051536272147
D16;54.783432119671;32.049133012869
D17;54.784026065645;32.044841478446
D18;54.780116112768;32.045275943653
